#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
40000	99.99999999995	-361635.6713885923	299.67394472486296	1.0581522341082175	8.45	2:36:50
41000	101.99999999994535	-362604.7200152723	300.44850718667476	1.0570982643864788	8.45	2:36:29
42000	103.99999999994068	-363058.402500429	298.244711953745	1.0584868411975938	8.45	2:36:07
43000	105.99999999993602	-362706.8011308236	297.0205809070796	1.0557888186656943	8.45	2:35:47
44000	107.99999999993136	-363768.81337516604	299.86768285835944	1.0618628142009756	8.45	2:35:26
45000	109.9999999999267	-363036.3022831357	300.781416672073	1.0587473334129627	8.45	2:35:06
46000	111.99999999992204	-363879.7996497634	301.58598755665645	1.0624893204425587	8.45	2:34:47
47000	113.99999999991738	-363517.6728043409	300.757841397299	1.0610785105624274	8.45	2:34:26
48000	115.99999999991272	-363120.23321757227	299.14538244682524	1.0628595275771653	8.45	2:34:05
49000	117.99999999990806	-361934.96408144105	300.948808486398	1.0608509183485946	8.45	2:33:44
50000	119.9999999999034	-362921.17914845253	299.1908424796102	1.059928009021213	8.45	2:33:24
51000	121.99999999989873	-362517.76802693587	298.43332068322997	1.0566532004830318	8.45	2:33:04
52000	123.99999999989407	-361784.0234326248	299.67687400074027	1.0562564106802301	8.45	2:32:43
53000	125.99999999988941	-363647.5570127907	302.25889803948843	1.05882573344486	8.45	2:32:23
54000	127.99999999988475	-362388.0352600771	299.0587700873307	1.0557845797061076	8.45	2:32:03
55000	129.9999999998943	-363467.7377086908	298.25958243316774	1.0607127905812654	8.45	2:31:41
56000	131.99999999990385	-363147.97599065024	300.425699366341	1.0640729079922755	8.45	2:31:22
57000	133.9999999999134	-362506.94532537216	299.7476700106941	1.0582756279560805	8.45	2:31:01
58000	135.99999999992295	-363005.695114438	298.9425040204543	1.055479247074287	8.45	2:30:40
59000	137.9999999999325	-362503.6474024501	298.57992400494896	1.0643390176263803	8.45	2:30:20
60000	139.99999999994205	-363557.18388330797	298.3036893367238	1.050470026738535	8.45	2:29:59
61000	141.9999999999516	-362559.42349949625	302.4653544861046	1.0556403368319904	8.45	2:29:38
62000	143.99999999996115	-362346.4601755117	301.5346502666492	1.0553011103343435	8.45	2:29:18
63000	145.9999999999707	-362773.39634650486	299.41294513721044	1.060016040973821	8.45	2:28:58
64000	147.99999999998025	-361287.1883897161	301.80910006134644	1.0585552530512043	8.45	2:28:38
65000	149.9999999999898	-362716.9997634413	297.6815319196768	1.0634726308191245	8.45	2:28:18
66000	151.99999999999935	-364080.83691897255	297.91442892358924	1.06293770621876	8.45	2:27:58
67000	154.0000000000089	-363403.401598953	298.6150574737179	1.0609943230128993	8.45	2:27:39
68000	156.00000000001845	-362311.54561447323	300.5096355746674	1.0628551099796133	8.45	2:27:19
69000	158.000000000028	-361839.03416773	301.4273404322789	1.0574949541084815	8.45	2:26:58
70000	160.00000000003755	-362121.4261040189	302.7804850084167	1.0579688957178353	8.44	2:26:38
71000	162.0000000000471	-362078.99720857845	300.67744765542056	1.0549870315838363	8.45	2:26:18
72000	164.00000000005664	-362817.94954213157	300.7382080358402	1.061453489387174	8.44	2:25:58
73000	166.0000000000662	-362458.1638814012	298.6993293460496	1.062504785099763	8.44	2:25:38
74000	168.00000000007574	-363139.4649438924	302.3127593805841	1.060781226899322	8.44	2:25:18
75000	170.0000000000853	-363225.98370333563	299.4088169076086	1.060602859749243	8.44	2:24:58
76000	172.00000000009484	-363596.79796929786	298.6321086949565	1.0571356218250065	8.44	2:24:37
77000	174.0000000001044	-363148.527930012	299.9596678329079	1.0604865099490082	8.44	2:24:17
78000	176.00000000011394	-363426.6833356077	300.41281860275285	1.0627588594459794	8.44	2:23:56
79000	178.0000000001235	-363528.61633613455	300.42179892817984	1.0577670105104016	8.44	2:23:36
80000	180.00000000013304	-363372.33344819077	299.73220278263784	1.0674227372976504	8.44	2:23:16
81000	182.0000000001426	-363403.90790940396	298.56883336694693	1.06634361148135	8.44	2:22:56
82000	184.00000000015214	-362807.0541907673	299.2978287235353	1.0603763278485656	8.44	2:22:35
83000	186.0000000001617	-362934.9900885311	299.6762092377265	1.0585016581635909	8.44	2:22:15
84000	188.00000000017124	-361955.89438060013	300.82017881318086	1.0543046596935892	8.44	2:21:54
85000	190.0000000001808	-363179.61451804696	299.7694714693303	1.0563041746823083	8.44	2:21:33
86000	192.00000000019034	-362033.3081999612	300.4533020188294	1.058902058355176	8.44	2:21:12
87000	194.0000000001999	-362843.7375156061	297.71236428098075	1.0549667067406272	8.44	2:20:51
88000	196.00000000020944	-362919.0100602482	302.04349431224756	1.0570920444250587	8.44	2:20:30
89000	198.000000000219	-362967.21227202757	299.0055736566288	1.0578002422028283	8.44	2:20:10
90000	200.00000000022854	-363104.47477661073	299.6377497150406	1.0609664287170713	8.45	2:19:49
91000	202.0000000002381	-362882.06056865427	297.68962078783886	1.0602153577722884	8.45	2:19:28
92000	204.00000000024764	-363281.98243996996	299.40273447398164	1.0608522440349495	8.45	2:19:08
93000	206.0000000002572	-362847.6988434846	300.8944531996285	1.0626058779395195	8.45	2:18:47
94000	208.00000000026674	-362420.3285450958	299.5091161681361	1.055643016777979	8.44	2:18:27
95000	210.0000000002763	-363993.5679224307	301.3026401589888	1.0617234461403002	8.44	2:18:07
96000	212.00000000028584	-363960.4678360512	299.06156732605166	1.0622019843842414	8.44	2:17:46
97000	214.0000000002954	-362625.8217152143	299.44048054830364	1.0609363034368198	8.44	2:17:26
98000	216.00000000030494	-363722.2267172768	298.2036022549131	1.0588735847995592	8.44	2:17:05
99000	218.0000000003145	-363399.52075143816	296.1795938766211	1.0591936519337046	8.44	2:16:45
100000	220.00000000032404	-363108.8431285706	299.32042099425746	1.0626239523750647	8.45	2:16:24
101000	222.00000000033359	-361104.21822806355	299.1651630640375	1.0550339167133038	8.44	2:16:04
102000	224.00000000034314	-363115.3248073351	298.5009973501833	1.0595048443710806	8.44	2:15:44
